,StudentId,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
24,341539,male,group D,,free/reduced,completed,married,sometimes,yes,2.0,school_bus,5 - 10,74,71,80
25,337076,male,group A,master's degree,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,75,76,76
26,538844,male,group B,some college,standard,none,married,sometimes,yes,5.0,school_bus,< 5,66,53,53
27,333586,female,group C,bachelor's degree,standard,none,married,sometimes,yes,4.0,school_bus,> 10,69,70,76
28,162589,male,group C,high school,standard,none,married,sometimes,no,1.0,private,5 - 10,70,70,65
30,488741,female,group D,some college,standard,none,single,sometimes,yes,0.0,private,< 5,66,72,72
31,678985,female,group B,some college,standard,none,single,sometimes,yes,5.0,,5 - 10,63,65,61
32,599825,female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,56,73,66
33,652991,male,,some college,standard,none,married,sometimes,no,2.0,private,5 - 10,40,42,38
34,800359,male,group E,some college,standard,none,divorced,sometimes,yes,0.0,school_bus,,97,87,82
35,215228,male,group E,associate's degree,standard,completed,single,sometimes,no,,school_bus,5 - 10,81,81,79
36,411139,female,group D,associate's degree,standard,none,married,regularly,no,2.0,private,5 - 10,76,82,85
37,915662,female,group D,some high school,free/reduced,none,married,regularly,yes,1.0,private,5 - 10,51,64,60
38,171856,female,group D,associate's degree,free/reduced,completed,married,regularly,no,1.0,school_bus,5 - 10,77,91,90
39,958605,male,group B,associate's degree,free/reduced,none,single,regularly,yes,5.0,school_bus,5 - 10,58,56,58
40,348583,male,group C,associate's degree,free/reduced,none,married,never,yes,0.0,school_bus,5 - 10,53,60,52
41,747955,female,group C,associate's degree,standard,none,divorced,regularly,no,1.0,,5 - 10,59,74,69
43,696649,male,group B,some college,free/reduced,,married,regularly,yes,3.0,school_bus,5 - 10,60,65,67
44,833403,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5.0,school_bus,< 5,48,55,52
45,470561,male,group B,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,< 5,63,53,55
47,966415,female,group C,high school,standard,none,married,regularly,yes,,private,5 - 10,67,72,77
49,320486,male,group C,high school,standard,completed,married,sometimes,,3.0,,5 - 10,82,84,82
50,809940,male,group E,some college,standard,none,married,,no,3.0,school_bus,> 10,54,55,48
51,757243,male,,associate's degree,free/reduced,completed,married,regularly,no,2.0,private,< 5,76,68,68
52,614008,male,group C,some college,standard,none,divorced,regularly,yes,3.0,school_bus,> 10,56,45,43
53,180844,male,group D,high school,standard,none,single,sometimes,yes,2.0,school_bus,5 - 10,88,78,75
54,376350,female,,some high school,free/reduced,completed,married,regularly,yes,,private,> 10,75,86,90
55,279771,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2.0,private,5 - 10,33,41,43
56,119819,female,group E,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,> 10,84,86,87
57,118095,male,group D,associate's degree,standard,none,single,sometimes,no,2.0,private,5 - 10,52,55,49
58,970664,male,group D,,standard,completed,married,regularly,no,1.0,private,> 10,61,60,60
59,197936,female,group C,some high school,free/reduced,none,single,regularly,yes,3.0,school_bus,> 10,0,17,10
61,847364,male,group A,some high school,free/reduced,none,married,sometimes,yes,,school_bus,5 - 10,39,39,34
62,955779,male,group A,associate's degree,free/reduced,none,married,sometimes,yes,5.0,private,5 - 10,62,61,55
64,429599,female,group D,some high school,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,59,58,59
65,562601,male,group B,some high school,standard,none,married,never,yes,1.0,private,< 5,63,62,58
66,830619,male,group D,some high school,free/reduced,none,married,sometimes,yes,4.0,school_bus,5 - 10,45,37,37
67,423706,female,group C,some college,standard,none,married,regularly,no,3.0,school_bus,5 - 10,61,73,75
68,126364,male,group B,associate's degree,free/reduced,none,divorced,regularly,no,3.0,school_bus,,62,58,57
69,724066,female,group C,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,5 - 10,39,64,57
71,805683,male,group D,some college,standard,completed,divorced,sometimes,yes,3.0,private,> 10,64,55,64
72,396525,female,group A,associate's degree,free/reduced,none,single,regularly,nein,1.0,private,5 - 10,42,51,49
73,418322,male,group C,some high school,free/reduced,none,divorced,never,yes,3.0,school_bus,5 - 10,59,56,54
74,530337,male,group C,some high school,standard,,married,sometimes,yes,2.0,private,< 5,47,48,40
75,366719,male,group B,associate's degree,free/reduced,none,divorced,sometimes,no,,school_bus,5 - 10,44,41,38
76,234258,male,group E,some high school,standard,none,,sometimes,no,5.0,school_bus,5 - 10,28,25,21
77,206587,male,group A,,standard,completed,,regularly,yes,,,5 - 10,82,79,83
78,325890,female,group D,some high school,standard,completed,divorced,sometimes,yes,2.0,school_bus,> 10,62,75,73
79,513070,female,group E,master's degree,standard,none,divorced,never,yes,1.0,school_bus,5 - 10,60,68,68
80,433007,female,group B,associate's degree,standard,none,married,regularly,nope,0.0,private,> 10,49,50,52
81,954235,male,group B,high school,free/reduced,none,married,sometimes,yes,0.0,private,,49,45,45
82,713395,male,group A,some college,free/reduced,completed,married,sometimes,no,,school_bus,5 - 10,50,47,54
83,531141,male,group E,associate's degree,standard,none,married,regularly,yes,0.0,private,5 - 10,74,64,64
84,421776,male,group D,high school,free/reduced,none,married,never,,3.0,private,5 - 10,40,38,33
85,843015,female,group C,some college,standard,none,divorced,sometimes,yes,0.0,private,5 - 10,73,80,82
86,866409,female,group C,some college,free/reduced,none,married,sometimes,yes,,school_bus,< 5,73,81,86
87,997366,female,group D,associate's degree,standard,none,single,sometimes,yes,0.0,private,5 - 10,71,71,74
88,347786,female,group A,some college,standard,none,divorced,regularly,yes,3.0,school_bus,< 5,57,69,67
89,225169,female,group D,some high school,standard,none,single,sometimes,yes,,private,> 10,75,87,83
91,224378,male,group C,high school,free/reduced,none,divorced,regularly,no,4.0,,5 - 10,27,34,36
92,373244,male,group C,high school,standard,none,divorced,sometimes,no,1.0,,< 5,68,77,69
93,683952,male,group C,associate's degree,free/reduced,completed,married,regularly,ye,3.0,private,> 10,45,46,52
94,797930,female,group B,some college,standard,none,married,regularly,yes,4.0,private,5 - 10,81,87,94
96,457409,male,group B,some high school,standard,completed,married,regularly,yes,5.0,school_bus,5 - 10,63,65,61
97,307943,female,,some college,standard,completed,married,never,yes,0.0,school_bus,< 5,59,69,66
98,465463,female,group D,some college,free/reduced,none,single,regularly,yes,2.0,,> 10,61,69,64
99,146414,female,group D,bachelor's degree,standard,none,married,regularly,yes,3.0,school_bus,< 5,64,66,62
100,632331,male,group B,some college,standard,none,married,sometimes,no,7.0,school_bus,5 - 10,79,67,67
101,652015,male,group D,bachelor's degree,standard,completed,single,sometimes,no,1.0,private,5 - 10,68,74,74
102,126560,female,group D,associate's degree,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,87,92,91
103,468188,male,group B,high school,standard,completed,married,regularly,no,3.0,school_bus,5 - 10,61,44,48
104,459424,male,,some college,standard,completed,married,regularly,yes,1.0,school_bus,> 10,100,88,94
105,705054,female,group C,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,58,67,72
106,532160,female,group D,master's degree,standard,none,married,sometimes,no,3.0,private,5 - 10,87,100,100
107,847110,male,group E,,standard,completed,single,sometimes,yes,0.0,school_bus,5 - 10,66,63,64
108,654602,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,52,76,70
109,121099,female,group B,some high school,standard,none,single,regularly,no,3.0,school_bus,5 - 10,72,64,73
110,814576,female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,4.0,school_bus,> 10,79,90,99
111,697702,male,group C,high school,standard,none,single,regularly,no,6.0,,5 - 10,63,55,50
112,659349,male,group A,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,54,53,47
113,780169,female,group D,some college,standard,none,married,never,yes,1.0,school_bus,< 5,47,56,51
114,754687,female,group E,bachelor's degree,standard,completed,married,regularly,yes,3.0,school_bus,< 5,98,99,100
115,436765,male,group C,high school,standard,none,married,sometimes,yes,4.0,private,5 - 10,84,77,74
116,722985,female,group B,bachelor's degree,free/reduced,none,single,never,no,1.0,school_bus,5 - 10,72,83,79
117,476531,female,group D,bachelor's degree,standard,none,married,never,no,2.0,private,5 - 10,75,80,77
118,972887,female,group D,some high school,standard,none,single,regularly,yes,0.0,private,> 10,54,64,63
119,685805,female,group C,some college,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10,55,69,65
120,359457,female,group C,bachelor's degree,standard,completed,married,never,yes,1.0,school_bus,5 - 10,76,90,86
121,382877,male,group B,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,< 5,88,87,90
122,983398,female,group C,some college,standard,completed,single,regularly,yes,1.0,,5 - 10,90,94,95
123,796428,male,group D,high school,free/reduced,none,married,sometimes,no,3.0,private,,63,57,56
124,927442,male,group E,some college,standard,none,single,regularly,no,3.0,school_bus,< 5,82,79,73
125,977660,female,group B,high school,standard,none,single,never,yes,2.0,school_bus,> 10,86,94,85
126,635308,male,group B,,standard,none,married,,no,3.0,private,5 - 10,72,68,67
127,253151,male,group D,some college,standard,,married,regularly,no,3.0,school_bus,< 5,64,76,74
128,353247,male,group D,master's degree,standard,none,single,never,yes,2.0,private,< 5,77,81,72
129,862172,female,group A,bachelor's degree,standard,none,,regularly,yes,0.0,school_bus,5 - 10,52,49,52
130,934163,male,group D,master's degree,standard,none,single,sometimes,no,1.0,school_bus,< 5,87,84,82
131,368220,male,group C,some high school,free/reduced,completed,single,regularly,yes,1.0,private,< 5,52,36,40
132,331355,male,,some college,free/reduced,completed,married,regularly,yes,2.0,school_bus,5 - 10,89,75,71
133,996479,female,,some college,standard,completed,married,never,nein,6.0,,< 5,70,78,80
134,675334,male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1.0,private,> 10,76,80,76
135,848410,male,group C,bachelor's degree,standard,none,married,sometimes,yes,1.0,,< 5,56,54,47
136,581893,male,group B,some high school,standard,completed,divorced,sometimes,yes,1.0,private,5 - 10,51,54,41
137,186113,male,group E,high school,standard,none,divorced,sometimes,yes,0.0,school_bus,< 5,67,54,54
138,558311,female,group C,associate's degree,standard,,married,sometimes,yes,1.0,private,5 - 10,59,66,67
139,506533,male,group D,some college,standard,completed,married,sometimes,yes,0.0,private,> 10,73,61,70
140,265186,female,group D,some high school,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,76,72,71
141,826644,female,group C,some college,free/reduced,none,married,regularly,no,2.0,private,5 - 10,60,62,65
142,869478,female,group E,some college,free/reduced,completed,single,regularly,,1.0,private,< 5,41,54,54
143,273099,male,group A,high school,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,57,43,47
144,227732,male,group D,some college,standard,none,divorced,sometimes,yes,3.0,private,> 10,90,74,79
145,685799,female,group C,some college,free/reduced,none,single,regularly,yes,1.0,school_bus,< 5,21,38,33
148,415442,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1.0,private,< 5,65,73,79
149,438899,male,group E,associate's degree,free/reduced,completed,married,regularly,nope,3.0,private,5 - 10,100,100,95
150,730842,male,group A,some high school,standard,completed,married,sometimes,no,2.0,private,5 - 10,62,67,69
152,378336,female,group B,associate's degree,standard,completed,single,sometimes,yes,2.0,school_bus,< 5,57,68,64
153,422980,male,group D,bachelor's degree,standard,none,married,sometimes,no,1.0,,5 - 10,54,49,47
154,335650,male,group D,some high school,standard,none,single,never,no,2.0,,< 5,58,65,58
155,356857,female,group C,some college,standard,completed,married,regularly,yes,3.0,school_bus,< 5,69,88,88
156,970700,female,group E,high school,free/reduced,completed,married,regularly,yes,1.0,school_bus,5 - 10,67,75,79
157,624709,male,group B,,free/reduced,none,,sometimes,si,2.0,school_bus,< 5,58,59,58
158,241716,female,group B,associate's degree,standard,,divorced,regularly,yes,2.0,private,5 - 10,62,87,89
159,906126,male,group D,associate's degree,free/reduced,none,married,regularly,no,3.0,school_bus,> 10,70,63,66
160,424280,male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,2.0,private,5 - 10,82,78,74
161,230652,female,group E,some college,free/reduced,completed,married,sometimes,yes,3.0,school_bus,5 - 10,75,88,85
162,780775,male,group B,master's degree,free/reduced,none,single,never,no,2.0,school_bus,5 - 10,48,53,52
163,895517,male,group C,high school,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,52,53,49
164,973197,female,group E,master's degree,standard,none,married,never,yes,3.0,private,< 5,76,89,86
165,899404,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,0.0,school_bus,5 - 10,96,100,100
166,473416,male,group C,high school,free/reduced,completed,single,sometimes,yes,5.0,private,5 - 10,53,51,51
167,999945,female,group B,master's degree,free/reduced,completed,married,regularly,no,1.0,private,> 10,62,79,83
168,973213,female,group B,high school,standard,completed,married,regularly,yes,2.0,private,5 - 10,70,84,79
170,288204,male,group A,high school,standard,completed,divorced,regularly,yes,5.0,school_bus,> 10,76,75,77
171,579579,male,group E,some high school,standard,none,married,sometimes,no,3.0,school_bus,< 5,91,86,76
172,137522,female,group D,some college,standard,none,single,never,yes,3.0,school_bus,5 - 10,76,84,78
173,303755,female,group C,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,63,67,70
174,208006,female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,1.0,school_bus,< 5,41,50,52
175,138415,female,group C,master's degree,standard,completed,divorced,sometimes,yes,1.0,school_bus,5 - 10,81,92,89
176,735125,female,group B,high school,free/reduced,completed,married,sometimes,no,2.0,school_bus,< 5,44,53,56
177,863460,female,group C,associate's degree,standard,completed,married,regularly,yes,,school_bus,< 5,70,76,77
178,126440,female,group B,master's degree,free/reduced,completed,divorced,regularly,yes,2.0,school_bus,5 - 10,54,72,65
179,572726,female,group D,some high school,standard,completed,divorced,regularly,yes,0.0,school_bus,5 - 10,99,100,100
180,902415,male,group C,master's degree,free/reduced,completed,single,sometimes,yes,2.0,private,< 5,60,68,75
181,905956,female,group C,some college,free/reduced,none,single,sometimes,yes,1.0,private,5 - 10,46,64,66
182,734985,female,group E,high school,standard,none,married,sometimes,yes,3.0,private,,50,50,47
183,747589,female,group D,associate's degree,standard,none,single,sometimes,no,,private,< 5,63,67,68
185,240429,male,group C,associate's degree,free/reduced,completed,married,never,yes,5.0,private,< 5,61,65,62
186,138999,male,group E,high school,standard,none,married,never,yes,1.0,school_bus,< 5,75,73,62
187,208881,male,group D,some high school,standard,completed,married,sometimes,no,4.0,private,5 - 10,62,66,68
188,579174,male,group B,some high school,free/reduced,none,married,regularly,no,3.0,school_bus,< 5,47,51,45
189,942485,female,group C,bachelor's degree,standard,none,single,sometimes,yes,1.0,school_bus,< 5,74,86,85
190,759382,female,group E,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,66,65,69
191,240915,male,group D,some college,standard,completed,married,sometimes,no,2.0,school_bus,< 5,73,81,77
192,331835,female,group B,some high school,standard,none,single,sometimes,no,3.0,private,,62,64,66
193,754268,male,group D,some college,standard,completed,married,regularly,yes,4.0,,,79,62,63
194,850184,female,group C,master's degree,standard,completed,,regularly,yes,1.0,school_bus,< 5,69,85,87
195,961769,male,group D,associate's degree,standard,none,married,regularly,no,4.0,school_bus,< 5,60,54,52
196,503204,male,group C,,free/reduced,completed,married,never,yes,1.0,school_bus,5 - 10,57,67,63
197,442427,male,group E,high school,free/reduced,none,married,,no,7.0,private,> 10,56,56,52
198,809813,female,group B,some college,free/reduced,none,widowed,regularly,yes,3.0,,> 10,47,54,57
199,729450,female,group B,bachelor's degree,free/reduced,,married,regularly,yes,3.0,private,5 - 10,80,80,77
200,977305,female,group C,associate's degree,standard,completed,single,regularly,no,1.0,private,< 5,66,83,86
201,652545,female,group D,some college,free/reduced,none,divorced,sometimes,yes,3.0,school_bus,< 5,63,79,75
202,516628,male,group C,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,69,77,69
203,828670,female,,associate's degree,standard,none,,regularly,yes,2.0,school_bus,5 - 10,58,70,69
204,206901,male,group C,some college,standard,none,single,regularly,yes,1.0,,< 5,58,40,42
205,232419,male,group D,some high school,standard,completed,married,,yes,,school_bus,< 5,71,69,76
206,149609,male,group E,bachelor's degree,standard,none,married,regularly,yes,4.0,school_bus,5 - 10,84,62,63
207,451102,male,group E,high school,standard,completed,married,regularly,no,2.0,school_bus,5 - 10,83,81,77
208,576227,female,group B,some college,free/reduced,none,married,regularly,yes,1.0,private,< 5,73,80,76
209,856847,female,group B,some college,free/reduced,,single,sometimes,no,2.0,,,58,61,66
210,623283,male,group D,some high school,free/reduced,completed,widowed,sometimes,yes,3.0,school_bus,< 5,77,77,77
211,854919,male,group C,some college,free/reduced,,married,sometimes,yes,3.0,school_bus,5 - 10,35,28,27
212,745019,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2.0,school_bus,5 - 10,42,62,60
213,279729,male,group C,associate's degree,free/reduced,completed,single,regularly,no,1.0,school_bus,5 - 10,61,51,57
214,761918,male,group E,high school,standard,,married,sometimes,yes,1.0,private,5 - 10,87,91,81
215,435826,male,group B,some high school,standard,completed,,regularly,no,2.0,private,5 - 10,86,84,76
216,774886,female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,3.0,school_bus,< 5,80,84,86
217,616916,female,group C,high school,free/reduced,,married,regularly,no,3.0,,< 5,33,41,39
218,860110,male,group B,high school,free/reduced,none,married,sometimes,no,2.0,school_bus,< 5,64,75,68
219,132077,male,group B,some high school,standard,completed,single,never,no,1.0,,5 - 10,59,55,54
220,543164,female,group D,high school,standard,completed,widowed,regularly,yes,4.0,school_bus,5 - 10,57,69,75
221,593198,male,group B,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,> 10,89,86,74
222,122591,female,group C,some high school,free/reduced,,divorced,sometimes,no,3.0,,5 - 10,55,65,62
223,447011,male,group D,some high school,standard,none,married,regularly,no,3.0,school_bus,5 - 10,88,81,76
224,602047,female,group B,associate's degree,standard,completed,divorced,regularly,,3.0,school_bus,> 10,55,67,76
225,222415,female,group E,master's degree,free/reduced,none,married,sometimes,no,,private,< 5,43,55,52
226,266826,female,group C,some college,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,72,72,71
227,190969,male,group D,high school,standard,none,single,regularly,yes,0.0,school_bus,5 - 10,58,50,55
228,102415,male,group A,,free/reduced,none,divorced,sometimes,no,26.0,school_bus,5 - 10,68,72,64
229,504594,female,group C,some college,standard,completed,married,regularly,yes,3.0,school_bus,> 10,93,97,98
230,107801,male,group D,some college,standard,none,married,regularly,Yes,0.0,,5 - 10,78,64,67
231,276642,male,group C,associate's degree,standard,none,married,regularly,,1.0,private,5 - 10,47,43,43
232,643228,female,group B,bachelor's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,67,86,83
233,535167,male,group E,some high school,standard,none,divorced,sometimes,yes,3.0,school_bus,> 10,94,88,79
234,288783,male,group C,bachelor's degree,standard,completed,married,sometimes,nein,3.0,school_bus,> 10,85,83,85
235,470338,male,group D,associate's degree,standard,none,married,regularly,yeah,1.0,school_bus,> 10,84,77,80
236,335444,male,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,2.0,school_bus,< 5,62,65,67
237,448099,female,group D,some high school,standard,,married,sometimes,yes,4.0,school_bus,< 5,62,59,72
238,849388,male,group B,some college,standard,none,married,regularly,yes,2.0,private,> 10,57,53,53
239,511611,male,group C,associate's degree,standard,none,,sometimes,yes,1.0,private,5 - 10,84,80,80
240,163330,male,group D,high school,free/reduced,completed,divorced,,yes,1.0,private,> 10,75,69,67
241,174381,female,group E,bachelor's degree,standard,none,single,regularly,no,4.0,private,5 - 10,82,84,85
243,544590,male,group E,some college,standard,,single,regularly,no,2.0,school_bus,< 5,58,50,43
244,993992,male,group D,some high school,standard,none,divorced,regularly,yes,1.0,school_bus,< 5,74,73,69
245,516715,male,group C,associate's degree,standard,none,married,sometimes,no,3.0,private,< 5,82,74,69
246,974142,male,group E,associate's degree,standard,,married,regularly,no,2.0,school_bus,5 - 10,91,77,75
247,816182,female,group B,high school,standard,completed,single,sometimes,yes,1.0,private,5 - 10,58,70,68
248,331575,female,group B,high school,standard,none,married,sometimes,yes,2.0,private,< 5,63,63,60
249,780225,male,,high school,standard,none,married,sometimes,no,2.0,school_bus,> 10,70,60,54
250,657691,male,group A,some high school,standard,completed,single,sometimes,yes,2.0,school_bus,5 - 10,47,49,49
251,516922,female,group D,some college,free/reduced,none,married,regularly,,4.0,school_bus,< 5,70,82,83
252,155800,female,group B,some high school,standard,completed,single,sometimes,yes,3.0,private,5 - 10,60,70,70
253,258803,male,group D,master's degree,standard,none,married,sometimes,no,3.0,school_bus,,80,80,72
254,485188,male,group D,high school,standard,none,married,sometimes,yes,0.0,private,5 - 10,54,52,52
255,647353,female,group E,some college,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,62,73,70
256,403552,female,group C,associate's degree,free/reduced,none,single,sometimes,no,5.0,private,< 5,62,71,66
257,433443,male,,associate's degree,standard,completed,married,regularly,,1.0,school_bus,5 - 10,80,78,78
260,842526,female,group C,some high school,free/reduced,completed,married,sometimes,yes,1.0,private,> 10,65,80,78
261,787314,male,group C,some college,standard,completed,married,sometimes,no,2.0,school_bus,5 - 10,79,79,78
262,725054,female,group C,some high school,free/reduced,none,married,regularly,no,2.0,private,5 - 10,45,50,52
263,620576,female,group E,high school,standard,none,single,sometimes,yes,1.0,private,5 - 10,99,93,90
264,778336,male,group D,high school,standard,none,married,sometimes,no,2.0,private,5 - 10,76,73,68
265,693493,male,group D,some high school,free/reduced,none,divorced,sometimes,no,1.0,school_bus,< 5,57,41,40
266,534268,female,,bachelor's degree,standard,none,married,sometimes,no,2.0,school_bus,< 5,61,73,79
267,648691,female,group D,high school,standard,none,married,regularly,no,3.0,school_bus,5 - 10,71,73,78
268,589845,female,group D,associate's degree,standard,completed,married,regularly,yes,5.0,school_bus,> 10,93,94,99
269,560026,female,group E,some college,free/reduced,none,married,sometimes,no,2.0,school_bus,,71,76,70
270,241033,male,group C,bachelor's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,69,63,61
271,869650,male,group C,some college,standard,,single,regularly,yes,1.0,,< 5,57,48,42
272,827942,female,group D,associate's degree,free/reduced,none,single,regularly,yes,2.0,private,5 - 10,48,53,59
273,296749,female,group D,some college,standard,none,married,sometimes,no,2.0,private,5 - 10,65,70,71
274,914277,male,group B,some college,standard,completed,widowed,,yes,1.0,school_bus,< 5,85,83,74
275,177237,male,group C,bachelor's degree,standard,none,married,sometimes,no,3.0,school_bus,5 - 10,83,78,73
276,748749,female,group C,some high school,standard,completed,married,sometimes,yes,3.0,private,< 5,82,90,91
277,704468,female,group E,,standard,completed,single,sometimes,no,4.0,school_bus,< 5,57,62,73
278,478003,female,group C,some high school,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,65,86,80
279,553613,male,group B,bachelor's degree,free/reduced,none,widowed,sometimes,no,2.0,school_bus,5 - 10,73,56,57
281,385939,male,group D,high school,standard,none,divorced,sometimes,no,,private,5 - 10,45,48,46
282,506188,female,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,3.0,school_bus,5 - 10,75,80,86
283,371862,female,group D,some college,free/reduced,completed,,never,ye,2.0,school_bus,5 - 10,67,76,76
284,707524,female,,some high school,standard,none,married,regularly,yes,0.0,private,< 5,36,45,46
285,497961,male,group B,associate's degree,standard,completed,married,never,yes,3.0,school_bus,5 - 10,78,80,79
286,897691,male,group E,associate's degree,standard,completed,married,regularly,yes,0.0,private,5 - 10,99,83,90
287,583737,female,group B,some high school,standard,none,married,sometimes,no,1.0,school_bus,< 5,64,87,80
288,583660,male,group B,bachelor's degree,free/reduced,none,single,sometimes,yes,0.0,,< 5,85,73,74
289,587588,male,,some high school,standard,completed,married,sometimes,yes,1.0,school_bus,> 10,79,77,78
290,756672,male,group C,associate's degree,standard,none,married,sometimes,no,2.0,school_bus,5 - 10,76,70,68
291,547656,male,group D,some high school,standard,none,married,sometimes,yes,2.0,private,< 5,83,71,68
292,634868,male,group C,some high school,standard,completed,married,never,yes,1.0,private,5 - 10,61,59,55
293,527979,female,group E,bachelor's degree,standard,none,married,sometimes,yes,,school_bus,> 10,66,74,76
294,160679,male,group D,high school,free/reduced,completed,single,regularly,yes,3.0,school_bus,5 - 10,80,78,82
295,638293,male,group B,associate's degree,free/reduced,none,married,never,yes,1.0,school_bus,> 10,66,61,59
296,275956,male,,some high school,standard,completed,widowed,regularly,no,2.0,school_bus,5 - 10,47,41,44
297,266348,male,,associate's degree,standard,completed,single,regularly,no,1.0,school_bus,5 - 10,73,75,69
298,724065,male,group C,,free/reduced,completed,single,regularly,no,2.0,private,< 5,39,45,50
299,825418,male,group D,associate's degree,free/reduced,none,married,regularly,no,2.0,,< 5,89,86,75
300,486800,male,group A,some college,free/reduced,completed,married,never,yes,2.0,private,< 5,76,75,77
301,517685,male,group D,some high school,free/reduced,,divorced,regularly,no,4.0,school_bus,< 5,55,53,52
302,672720,female,group C,associate's degree,standard,completed,single,never,yes,5.0,school_bus,> 10,66,83,80
303,885849,male,group B,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,82,77,65
