,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,Gender_female,Gender_male,LunchType_free/reduced,LunchType_standard
54,male,0,6,free/reduced,1,1,2,1,2.0,1,0,39,39,34,0.0,1.0,1.0,0.0
55,male,0,0,free/reduced,1,1,2,1,5.0,0,0,62,61,55,0.0,1.0,1.0,0.0
56,female,3,6,standard,1,1,2,1,0.0,1,0,59,58,59,1.0,0.0,0.0,1.0
57,male,1,6,standard,1,1,0,1,1.0,0,1,63,62,58,0.0,1.0,0.0,1.0
58,male,3,6,free/reduced,1,1,2,1,4.0,1,0,45,37,37,0.0,1.0,1.0,0.0
59,female,2,5,standard,1,1,1,0,3.0,1,0,61,73,75,1.0,0.0,0.0,1.0
60,male,1,0,free/reduced,1,0,1,0,3.0,1,0,62,58,57,0.0,1.0,1.0,0.0
61,female,2,0,standard,1,2,2,1,3.0,1,0,39,64,57,1.0,0.0,0.0,1.0
62,male,3,5,standard,0,0,2,1,3.0,0,2,64,55,64,0.0,1.0,0.0,1.0
63,female,0,0,free/reduced,1,2,1,0,1.0,0,0,42,51,49,1.0,0.0,1.0,0.0
64,male,2,6,free/reduced,1,0,0,1,3.0,1,0,59,56,54,0.0,1.0,1.0,0.0
65,male,2,6,standard,1,1,2,1,2.0,0,1,47,48,40,0.0,1.0,0.0,1.0
66,male,1,0,free/reduced,1,0,2,0,2.0,1,0,44,41,38,0.0,1.0,1.0,0.0
67,male,4,6,standard,1,1,2,0,5.0,1,0,28,25,21,0.0,1.0,0.0,1.0
68,male,0,4,standard,0,1,1,1,2.0,2,0,82,79,83,0.0,1.0,0.0,1.0
69,female,3,6,standard,0,0,2,1,2.0,1,2,62,75,73,1.0,0.0,0.0,1.0
70,female,4,3,standard,1,0,0,1,1.0,1,0,60,68,68,1.0,0.0,0.0,1.0
71,female,1,0,standard,1,1,1,0,0.0,0,2,49,50,52,1.0,0.0,0.0,1.0
72,male,1,2,free/reduced,1,1,2,1,0.0,0,0,49,45,45,0.0,1.0,1.0,0.0
73,male,0,5,free/reduced,0,1,2,0,2.0,1,0,50,47,54,0.0,1.0,1.0,0.0
74,male,4,0,standard,1,1,1,1,0.0,0,0,74,64,64,0.0,1.0,0.0,1.0
75,female,2,5,standard,1,0,2,1,0.0,0,0,73,80,82,1.0,0.0,0.0,1.0
76,female,2,5,free/reduced,1,1,2,1,2.0,1,1,73,81,86,1.0,0.0,1.0,0.0
77,female,3,0,standard,1,2,2,1,0.0,0,0,71,71,74,1.0,0.0,0.0,1.0
78,female,0,5,standard,1,0,1,1,3.0,1,1,57,69,67,1.0,0.0,0.0,1.0
79,female,3,6,standard,1,2,2,1,2.0,0,2,75,87,83,1.0,0.0,0.0,1.0
80,male,2,2,free/reduced,1,0,1,0,4.0,2,0,27,34,36,0.0,1.0,1.0,0.0
81,male,2,2,standard,1,0,2,0,1.0,2,1,68,77,69,0.0,1.0,0.0,1.0
82,male,2,0,free/reduced,0,1,1,1,3.0,0,2,45,46,52,0.0,1.0,1.0,0.0
83,female,1,5,standard,1,1,1,1,4.0,0,0,81,87,94,1.0,0.0,0.0,1.0
84,male,1,6,standard,0,1,1,1,5.0,1,0,63,65,61,0.0,1.0,0.0,1.0
85,female,2,5,standard,0,1,0,1,0.0,1,1,59,69,66,1.0,0.0,0.0,1.0
86,female,3,5,free/reduced,1,2,1,1,2.0,2,2,61,69,64,1.0,0.0,1.0,0.0
87,female,3,1,standard,1,1,1,1,3.0,1,1,64,66,62,1.0,0.0,0.0,1.0
88,male,1,5,standard,1,1,2,0,7.0,1,0,79,67,67,0.0,1.0,0.0,1.0
89,male,3,1,standard,0,2,2,0,1.0,0,0,68,74,74,0.0,1.0,0.0,1.0
90,female,3,0,standard,1,1,1,1,3.0,1,0,87,92,91,1.0,0.0,0.0,1.0
91,male,1,2,standard,0,1,1,0,3.0,1,0,61,44,48,0.0,1.0,0.0,1.0
92,male,2,5,standard,0,1,1,1,1.0,1,2,100,88,94,0.0,1.0,0.0,1.0
93,female,2,5,standard,1,1,2,1,0.0,1,0,58,67,72,1.0,0.0,0.0,1.0
94,female,3,3,standard,1,1,2,0,3.0,0,0,87,100,100,1.0,0.0,0.0,1.0
95,male,4,4,standard,0,2,2,1,0.0,1,0,66,63,64,0.0,1.0,0.0,1.0
96,female,1,0,free/reduced,1,1,2,1,2.0,1,0,52,76,70,1.0,0.0,1.0,0.0
97,female,1,6,standard,1,2,1,0,3.0,1,0,72,64,73,1.0,0.0,0.0,1.0
98,female,3,0,free/reduced,0,2,2,1,4.0,1,2,79,90,99,1.0,0.0,1.0,0.0
99,male,2,2,standard,1,2,1,0,6.0,2,0,63,55,50,0.0,1.0,0.0,1.0
100,male,0,0,standard,1,1,2,1,0.0,1,0,54,53,47,0.0,1.0,0.0,1.0
101,female,3,5,standard,1,1,0,1,1.0,1,1,47,56,51,1.0,0.0,0.0,1.0
102,female,4,1,standard,0,1,1,1,3.0,1,1,98,99,100,1.0,0.0,0.0,1.0
103,male,2,2,standard,1,1,2,1,4.0,0,0,84,77,74,0.0,1.0,0.0,1.0
104,female,1,1,free/reduced,1,2,0,0,1.0,1,0,72,83,79,1.0,0.0,1.0,0.0
105,female,3,1,standard,1,1,0,0,2.0,0,0,75,80,77,1.0,0.0,0.0,1.0
106,female,3,6,standard,1,2,1,1,0.0,0,2,54,64,63,1.0,0.0,0.0,1.0
107,female,2,5,standard,1,0,2,0,3.0,1,0,55,69,65,1.0,0.0,0.0,1.0
108,female,2,1,standard,0,1,0,1,1.0,1,0,76,90,86,1.0,0.0,0.0,1.0
109,male,1,0,standard,0,1,2,1,3.0,1,1,88,87,90,0.0,1.0,0.0,1.0
110,female,2,5,standard,0,2,1,1,1.0,2,0,90,94,95,1.0,0.0,0.0,1.0
111,male,3,2,free/reduced,1,1,2,0,3.0,0,0,63,57,56,0.0,1.0,1.0,0.0
112,male,4,5,standard,1,2,1,0,3.0,1,1,82,79,73,0.0,1.0,0.0,1.0
113,female,1,2,standard,1,2,0,1,2.0,1,2,86,94,85,1.0,0.0,0.0,1.0
114,male,3,5,standard,1,1,1,0,3.0,1,1,64,76,74,0.0,1.0,0.0,1.0
115,male,3,3,standard,1,2,0,1,2.0,0,1,77,81,72,0.0,1.0,0.0,1.0
116,female,0,1,standard,1,1,1,1,0.0,1,0,52,49,52,1.0,0.0,0.0,1.0
117,male,3,3,standard,1,2,2,0,1.0,1,1,87,84,82,0.0,1.0,0.0,1.0
118,male,2,6,free/reduced,0,2,1,1,1.0,0,1,52,36,40,0.0,1.0,1.0,0.0
119,male,2,5,free/reduced,0,1,1,1,2.0,1,0,89,75,71,0.0,1.0,1.0,0.0
120,female,2,5,standard,0,1,0,0,6.0,2,1,70,78,80,1.0,0.0,0.0,1.0
121,male,3,1,free/reduced,0,1,2,1,1.0,0,2,76,80,76,0.0,1.0,1.0,0.0
122,male,2,1,standard,1,1,2,1,1.0,2,1,56,54,47,0.0,1.0,0.0,1.0
123,male,1,6,standard,0,0,2,1,1.0,0,0,51,54,41,0.0,1.0,0.0,1.0
124,male,4,2,standard,1,0,2,1,0.0,1,1,67,54,54,0.0,1.0,0.0,1.0
125,female,2,0,standard,1,1,2,1,1.0,0,0,59,66,67,1.0,0.0,0.0,1.0
126,male,3,5,standard,0,1,2,1,0.0,0,2,73,61,70,0.0,1.0,0.0,1.0
127,female,3,6,standard,1,1,2,0,1.0,1,0,76,72,71,1.0,0.0,0.0,1.0
128,female,2,5,free/reduced,1,1,1,0,2.0,0,0,60,62,65,1.0,0.0,1.0,0.0
129,male,0,2,standard,1,2,2,0,1.0,1,0,57,43,47,0.0,1.0,0.0,1.0
130,male,3,5,standard,1,0,2,1,3.0,0,2,90,74,79,0.0,1.0,0.0,1.0
131,female,2,5,free/reduced,1,2,1,1,1.0,1,1,21,38,33,1.0,0.0,1.0,0.0
132,female,3,1,standard,0,1,2,1,1.0,0,1,65,73,79,1.0,0.0,0.0,1.0
133,male,4,0,free/reduced,0,1,1,0,3.0,0,0,100,100,95,0.0,1.0,1.0,0.0
134,male,0,6,standard,0,1,2,0,2.0,0,0,62,67,69,0.0,1.0,0.0,1.0
135,female,1,0,standard,0,2,2,1,2.0,1,1,57,68,64,1.0,0.0,0.0,1.0
136,male,3,1,standard,1,1,2,0,1.0,2,0,54,49,47,0.0,1.0,0.0,1.0
137,male,3,6,standard,1,2,0,0,2.0,2,1,58,65,58,0.0,1.0,0.0,1.0
138,female,2,5,standard,0,1,1,1,3.0,1,1,69,88,88,1.0,0.0,0.0,1.0
139,female,4,2,free/reduced,0,1,1,1,1.0,1,0,67,75,79,1.0,0.0,1.0,0.0
140,male,1,4,free/reduced,1,1,2,1,2.0,1,1,58,59,58,0.0,1.0,1.0,0.0
141,female,1,0,standard,1,0,1,1,2.0,0,0,62,87,89,1.0,0.0,0.0,1.0
142,male,3,0,free/reduced,1,1,1,0,3.0,1,2,70,63,66,0.0,1.0,1.0,0.0
143,male,1,0,free/reduced,0,2,2,1,2.0,0,0,82,78,74,0.0,1.0,1.0,0.0
144,female,4,5,free/reduced,0,1,2,1,3.0,1,0,75,88,85,1.0,0.0,1.0,0.0
145,male,1,3,free/reduced,1,2,0,0,2.0,1,0,48,53,52,0.0,1.0,1.0,0.0
146,male,2,2,standard,1,0,2,1,1.0,1,0,52,53,49,0.0,1.0,0.0,1.0
147,female,4,3,standard,1,1,0,1,3.0,0,1,76,89,86,1.0,0.0,0.0,1.0
148,female,2,1,standard,0,1,2,1,0.0,1,0,96,100,100,1.0,0.0,0.0,1.0
149,male,2,2,free/reduced,0,2,2,1,5.0,0,0,53,51,51,0.0,1.0,1.0,0.0
150,female,1,3,free/reduced,0,1,1,0,1.0,0,2,62,79,83,1.0,0.0,1.0,0.0
151,female,1,2,standard,0,1,1,1,2.0,0,0,70,84,79,1.0,0.0,0.0,1.0
152,male,0,2,standard,0,0,1,1,5.0,1,2,76,75,77,0.0,1.0,0.0,1.0
153,male,4,6,standard,1,1,2,0,3.0,1,1,91,86,76,0.0,1.0,0.0,1.0
154,female,3,5,standard,1,2,0,1,3.0,1,0,76,84,78,1.0,0.0,0.0,1.0
155,female,2,0,standard,1,1,2,1,2.0,1,0,63,67,70,1.0,0.0,0.0,1.0
156,female,2,1,free/reduced,0,1,2,0,1.0,1,1,41,50,52,1.0,0.0,1.0,0.0
157,female,2,3,standard,0,0,2,1,1.0,1,0,81,92,89,1.0,0.0,0.0,1.0
158,female,1,2,free/reduced,0,1,2,0,2.0,1,1,44,53,56,1.0,0.0,1.0,0.0
159,female,2,0,standard,0,1,1,1,2.0,1,1,70,76,77,1.0,0.0,0.0,1.0
160,female,1,3,free/reduced,0,0,1,1,2.0,1,0,54,72,65,1.0,0.0,1.0,0.0
161,female,3,6,standard,0,0,1,1,0.0,1,0,99,100,100,1.0,0.0,0.0,1.0
162,male,2,3,free/reduced,0,2,2,1,2.0,0,1,60,68,75,0.0,1.0,1.0,0.0
163,female,2,5,free/reduced,1,2,2,1,1.0,0,0,46,64,66,1.0,0.0,1.0,0.0
164,female,4,2,standard,1,1,2,1,3.0,0,0,50,50,47,1.0,0.0,0.0,1.0
165,female,3,0,standard,1,2,2,0,2.0,0,1,63,67,68,1.0,0.0,0.0,1.0
166,male,2,0,free/reduced,0,1,0,1,5.0,0,1,61,65,62,0.0,1.0,1.0,0.0
167,male,4,2,standard,1,1,0,1,1.0,1,1,75,73,62,0.0,1.0,0.0,1.0
168,male,3,6,standard,0,1,2,0,4.0,0,0,62,66,68,0.0,1.0,0.0,1.0
169,male,1,6,free/reduced,1,1,1,0,3.0,1,1,47,51,45,0.0,1.0,1.0,0.0
170,female,2,1,standard,1,2,2,1,1.0,1,1,74,86,85,1.0,0.0,0.0,1.0
171,female,4,0,standard,1,1,2,1,2.0,1,0,66,65,69,1.0,0.0,0.0,1.0
172,male,3,5,standard,0,1,2,0,2.0,1,1,73,81,77,0.0,1.0,0.0,1.0
173,female,1,6,standard,1,2,2,0,3.0,0,0,62,64,66,1.0,0.0,0.0,1.0
174,male,3,5,standard,0,1,1,1,4.0,2,0,79,62,63,0.0,1.0,0.0,1.0
175,female,2,3,standard,0,1,1,1,1.0,1,1,69,85,87,1.0,0.0,0.0,1.0
176,male,3,0,standard,1,1,1,0,4.0,1,1,60,54,52,0.0,1.0,0.0,1.0
177,male,2,4,free/reduced,0,1,0,1,1.0,1,0,57,67,63,0.0,1.0,1.0,0.0
178,female,1,5,free/reduced,1,3,1,1,3.0,2,2,47,54,57,1.0,0.0,1.0,0.0
179,female,1,1,free/reduced,1,1,1,1,3.0,0,0,80,80,77,1.0,0.0,1.0,0.0
180,female,2,0,standard,0,2,1,0,1.0,0,1,66,83,86,1.0,0.0,0.0,1.0
181,female,3,5,free/reduced,1,0,2,1,3.0,1,1,63,79,75,1.0,0.0,1.0,0.0
182,male,2,0,standard,1,1,2,1,2.0,1,0,69,77,69,0.0,1.0,0.0,1.0
183,female,2,0,standard,1,1,1,1,2.0,1,0,58,70,69,1.0,0.0,0.0,1.0
184,male,2,5,standard,1,2,1,1,1.0,2,1,58,40,42,0.0,1.0,0.0,1.0
185,male,4,1,standard,1,1,1,1,4.0,1,0,84,62,63,0.0,1.0,0.0,1.0
186,male,4,2,standard,0,1,1,0,2.0,1,0,83,81,77,0.0,1.0,0.0,1.0
187,female,1,5,free/reduced,1,1,1,1,1.0,0,1,73,80,76,1.0,0.0,1.0,0.0
188,female,1,5,free/reduced,1,2,2,0,2.0,2,0,58,61,66,1.0,0.0,1.0,0.0
189,male,3,6,free/reduced,0,3,2,1,3.0,1,1,77,77,77,0.0,1.0,1.0,0.0
190,male,2,5,free/reduced,1,1,2,1,3.0,1,0,35,28,27,0.0,1.0,1.0,0.0
191,female,2,2,free/reduced,1,0,2,1,2.0,1,0,42,62,60,1.0,0.0,1.0,0.0
192,male,2,0,free/reduced,0,2,1,0,1.0,1,0,61,51,57,0.0,1.0,1.0,0.0
193,male,4,2,standard,1,1,2,1,1.0,0,0,87,91,81,0.0,1.0,0.0,1.0
194,male,1,6,standard,0,1,1,0,2.0,0,0,86,84,76,0.0,1.0,0.0,1.0
195,female,4,0,free/reduced,0,1,2,1,3.0,1,1,80,84,86,1.0,0.0,1.0,0.0
196,female,2,2,free/reduced,1,1,1,0,3.0,2,1,33,41,39,1.0,0.0,1.0,0.0
197,male,1,2,free/reduced,1,1,2,0,2.0,1,1,64,75,68,0.0,1.0,1.0,0.0
198,male,1,6,standard,0,2,0,0,1.0,2,0,59,55,54,0.0,1.0,0.0,1.0
199,female,3,2,standard,0,3,1,1,4.0,1,0,57,69,75,1.0,0.0,0.0,1.0
200,male,1,0,standard,1,1,2,1,0.0,1,2,89,86,74,0.0,1.0,0.0,1.0
201,female,2,6,free/reduced,1,0,2,0,3.0,2,0,55,65,62,1.0,0.0,1.0,0.0
202,male,3,6,standard,1,1,1,0,3.0,1,0,88,81,76,0.0,1.0,0.0,1.0
203,female,4,3,free/reduced,1,1,2,0,2.0,0,1,43,55,52,1.0,0.0,1.0,0.0
204,female,2,5,standard,1,1,2,1,5.0,1,0,72,72,71,1.0,0.0,0.0,1.0
205,male,3,2,standard,1,2,1,1,0.0,1,0,58,50,55,0.0,1.0,0.0,1.0
206,male,0,4,free/reduced,1,0,2,0,26.0,1,0,68,72,64,0.0,1.0,1.0,0.0
207,female,2,5,standard,0,1,1,1,3.0,1,2,93,97,98,1.0,0.0,0.0,1.0
208,male,3,5,standard,1,1,1,1,0.0,2,0,78,64,67,0.0,1.0,0.0,1.0
209,female,1,1,standard,1,1,2,1,2.0,1,0,67,86,83,1.0,0.0,0.0,1.0
210,male,4,6,standard,1,0,2,1,3.0,1,2,94,88,79,0.0,1.0,0.0,1.0
211,male,2,1,standard,0,1,2,0,3.0,1,2,85,83,85,0.0,1.0,0.0,1.0
212,male,3,0,standard,1,1,1,1,1.0,1,2,84,77,80,0.0,1.0,0.0,1.0
213,male,3,1,free/reduced,1,0,1,0,2.0,1,1,62,65,67,0.0,1.0,1.0,0.0
214,female,3,6,standard,1,1,2,1,4.0,1,1,62,59,72,1.0,0.0,0.0,1.0
215,male,1,5,standard,1,1,1,1,2.0,0,2,57,53,53,0.0,1.0,0.0,1.0
216,male,2,0,standard,1,1,2,1,1.0,0,0,84,80,80,0.0,1.0,0.0,1.0
217,female,4,1,standard,1,2,1,0,4.0,0,0,82,84,85,1.0,0.0,0.0,1.0
218,male,4,5,standard,1,2,1,0,2.0,1,1,58,50,43,0.0,1.0,0.0,1.0
219,male,3,6,standard,1,0,1,1,1.0,1,1,74,73,69,0.0,1.0,0.0,1.0
220,male,2,0,standard,1,1,2,0,3.0,0,1,82,74,69,0.0,1.0,0.0,1.0
221,male,4,0,standard,1,1,1,0,2.0,1,0,91,77,75,0.0,1.0,0.0,1.0
222,female,1,2,standard,0,2,2,1,1.0,0,0,58,70,68,1.0,0.0,0.0,1.0
223,female,1,2,standard,1,1,2,1,2.0,0,1,63,63,60,1.0,0.0,0.0,1.0
224,male,2,2,standard,1,1,2,0,2.0,1,2,70,60,54,0.0,1.0,0.0,1.0
225,male,0,6,standard,0,2,2,1,2.0,1,0,47,49,49,0.0,1.0,0.0,1.0
226,female,1,6,standard,0,2,2,1,3.0,0,0,60,70,70,1.0,0.0,0.0,1.0
227,male,3,3,standard,1,1,2,0,3.0,1,0,80,80,72,0.0,1.0,0.0,1.0
228,male,3,2,standard,1,1,2,1,0.0,0,0,54,52,52,0.0,1.0,0.0,1.0
229,female,4,5,standard,1,2,2,0,1.0,1,0,62,73,70,1.0,0.0,0.0,1.0
230,female,2,0,free/reduced,1,2,2,0,5.0,0,1,62,71,66,1.0,0.0,1.0,0.0
231,female,2,6,free/reduced,0,1,2,1,1.0,0,2,65,80,78,1.0,0.0,1.0,0.0
232,male,2,5,standard,0,1,2,0,2.0,1,0,79,79,78,0.0,1.0,0.0,1.0
233,female,2,6,free/reduced,1,1,1,0,2.0,0,0,45,50,52,1.0,0.0,1.0,0.0
234,female,4,2,standard,1,2,2,1,1.0,0,0,99,93,90,1.0,0.0,0.0,1.0
235,male,3,2,standard,1,1,2,0,2.0,0,0,76,73,68,0.0,1.0,0.0,1.0
236,male,3,6,free/reduced,1,0,2,0,1.0,1,1,57,41,40,0.0,1.0,1.0,0.0
237,female,2,1,standard,1,1,2,0,2.0,1,1,61,73,79,1.0,0.0,0.0,1.0
238,female,3,2,standard,1,1,1,0,3.0,1,0,71,73,78,1.0,0.0,0.0,1.0
239,female,3,0,standard,0,1,1,1,5.0,1,2,93,94,99,1.0,0.0,0.0,1.0
240,female,4,5,free/reduced,1,1,2,0,2.0,1,0,71,76,70,1.0,0.0,1.0,0.0
241,male,2,1,standard,1,1,2,1,2.0,1,0,69,63,61,0.0,1.0,0.0,1.0
242,male,2,5,standard,1,2,1,1,1.0,2,1,57,48,42,0.0,1.0,0.0,1.0
243,female,3,0,free/reduced,1,2,1,1,2.0,0,0,48,53,59,1.0,0.0,1.0,0.0
244,female,3,5,standard,1,1,2,0,2.0,0,0,65,70,71,1.0,0.0,0.0,1.0
245,male,2,1,standard,1,1,2,0,3.0,1,0,83,78,73,0.0,1.0,0.0,1.0
246,female,2,6,standard,0,1,2,1,3.0,0,1,82,90,91,1.0,0.0,0.0,1.0
247,female,4,4,standard,0,2,2,0,4.0,1,1,57,62,73,1.0,0.0,0.0,1.0
248,female,2,6,free/reduced,1,1,2,1,1.0,1,0,65,86,80,1.0,0.0,1.0,0.0
249,male,1,1,free/reduced,1,3,2,0,2.0,1,0,73,56,57,0.0,1.0,1.0,0.0
250,male,3,2,standard,1,0,2,0,2.0,0,0,45,48,46,0.0,1.0,0.0,1.0
251,female,3,1,free/reduced,1,0,1,0,3.0,1,0,75,80,86,1.0,0.0,1.0,0.0
252,female,3,5,free/reduced,0,1,0,1,2.0,1,0,67,76,76,1.0,0.0,1.0,0.0
253,female,2,6,standard,1,1,1,1,0.0,0,1,36,45,46,1.0,0.0,0.0,1.0
254,male,1,0,standard,0,1,0,1,3.0,1,0,78,80,79,0.0,1.0,0.0,1.0
255,male,4,0,standard,0,1,1,1,0.0,0,0,99,83,90,0.0,1.0,0.0,1.0
256,female,1,6,standard,1,1,2,0,1.0,1,1,64,87,80,1.0,0.0,0.0,1.0
257,male,1,1,free/reduced,1,2,2,1,0.0,2,1,85,73,74,0.0,1.0,1.0,0.0
258,male,2,6,standard,0,1,2,1,1.0,1,2,79,77,78,0.0,1.0,0.0,1.0
259,male,2,0,standard,1,1,2,0,2.0,1,0,76,70,68,0.0,1.0,0.0,1.0
260,male,3,6,standard,1,1,2,1,2.0,0,1,83,71,68,0.0,1.0,0.0,1.0
261,male,2,6,standard,0,1,0,1,1.0,0,0,61,59,55,0.0,1.0,0.0,1.0
262,female,4,1,standard,1,1,2,1,2.0,1,2,66,74,76,1.0,0.0,0.0,1.0
263,male,3,2,free/reduced,0,2,1,1,3.0,1,0,80,78,82,0.0,1.0,1.0,0.0
264,male,1,0,free/reduced,1,1,0,1,1.0,1,2,66,61,59,0.0,1.0,1.0,0.0
265,male,2,6,standard,0,3,1,0,2.0,1,0,47,41,44,0.0,1.0,0.0,1.0
266,male,2,0,standard,0,2,1,0,1.0,1,0,73,75,69,0.0,1.0,0.0,1.0
267,male,2,4,free/reduced,0,2,1,0,2.0,0,1,39,45,50,0.0,1.0,1.0,0.0
268,male,3,0,free/reduced,1,1,1,0,2.0,2,1,89,86,75,0.0,1.0,1.0,0.0
269,male,0,5,free/reduced,0,1,0,1,2.0,0,1,76,75,77,0.0,1.0,1.0,0.0
270,male,3,6,free/reduced,1,0,1,0,4.0,1,1,55,53,52,0.0,1.0,1.0,0.0
271,female,2,0,standard,0,2,0,1,5.0,1,2,66,83,80,1.0,0.0,0.0,1.0
272,male,1,0,standard,1,1,1,1,1.0,1,0,82,77,65,0.0,1.0,0.0,1.0
273,female,2,0,standard,0,1,1,1,2.0,1,0,76,76,85,1.0,0.0,0.0,1.0
